#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_1400001273_DESC;Fortune has favored us as our troops have beaten back Japan's disastrous campaign into Suiyuan using their Mongol and Chinese puppets. With most of their collaborationist army in shambles and originally of low quality anyways, we were able to counterattack their capital at Bailingmiao and reclaim some of the territory our country has lost to Japan's imperialist encroachments. Yan Xishan's victory over the Japanese has seemingly inspired Chinese throughout the country to intensify their anti-Japanese activism, giving us quite some credibility on the national stage.;;;;;;;;;;X
EVT_1400001501_DESC;;;;;;;;;;;X
EVT_1400001502_DESC;In order to strengthen the united front and improve our efficiency in fighting Japan, the heads of the party have agreed that the red armies based in Yan'an should join into the NRA's structure. Thus, today our forces will reorganize into the Eighth Route Army and fly the Kuomintang war flag. Ultimately, we will still main full command of our own forces and be able to use them as we wish, even if it is to the displeasure of some NRA general--afterall, the KMT needs us to fight Japan, not the other way around.;;;;;;;;;;X
EVT_1400001503_DESC;As we settle into our new base, it is of upmost importance we begin re-establishing our governing body to successfully implement our revolutionary agenda in the Yan'an base area. In conversation, Lin Boqu, an old Chinese revolutionary who has been agitating for the Chinese people since before 1911, naturally came up as a good choice for someone who could take on the monumental task of administering the party territories. He has, for these qualifications, thus been elected in committee as leader of the Shaan-Gan-Ning border region, where his expertise will hopefully advance our revolution tenfold!;;;;;;;;;;X
EVT_1400001504_DESC;While our Soviet-trained German comrade Otto Braun, or Li De, has served and led us faithfully throughout this period of struggle, his tactics have come under harsh criticism in the recent Zunyi conference. Comrade Mao Zedong has been the leader of such opposition to Braun and his partner in command, comrade Bo Gu. Their arguments that our recent disastrous losses against the KMT are largely to blame on Braun's support for direct attacks and conventional battle have swayed many party and military leaders, so much so that it was agreed Braun and Bo Gu should be removed their leadership positions posthaste. While comrade Braun will still continue on the long march with us, he will now only be in a minor role, barely involved in actual command of the red army.;;;;;;;;;;X
EVT_1400001505_DESC;;;;;;;;;;;X
EVT_1400001506_DESC;;;;;;;;;;;X
EVT_1400001507_DESC;With the establishment of the Second United Front, we also need to begin thinking about improving our communication channels with the KMT. Though they have been our arch-nemesis for most of our history, the fight with Japan will require the both of our parties to pool our strategies together and help each-other when needed. Thus, we have established the Changjiang Bureau in Chongqing, sending many of our party's top officials to serve as liaison to Chiang's government. Hopefully this move will improve the effectiveness of the united front in our joint war of resistance.;;;;;;;;;;X
EVT_1400001508_DESC;;;;;;;;;;;X
EVT_1400001509_DESC;Mao Zedong, now leader of the CCP, has opened the 6th plenary session of the CCP's current central committee, the first to be headed by him. Comrade Mao spoke about our role in the war of resistance, and chaired the discussion about various organizational issues that needed resolution. At the end of the session, he ended with a passionate speech, reminding the party that 'political power grows out of the barrel of a gun' and the need for a revolutionary war.;;;;;;;;;;X
EVT_1400001510_DESC;;;;;;;;;;;X
EVT_1400001511_DESC;Necessity of the Changjiang Bureau to us has come into question. While having some liaison with the KMT during the remainder of the war of resistance would be helpful, it wouldn't serve much other than just being an embassy to Chiang in Chongqing--that and processing mountains of complaints by KMT officials. It would be advisable that we close down the office and bring many of our top leaders back to Yan'an where they might have more meaningful work to do... though some still caution us from acting so quickly on this decision. What shall we do then?;;;;;;;;;;X
EVT_1400001512_DESC;;;;;;;;;;;X
EVT_1400001513_DESC;;;;;;;;;;;X
EVT_1400001514_DESC;;;;;;;;;;;X
EVT_1400001515_DESC;;;;;;;;;;;X
EVT_1400001516_DESC;For far too long, the Chinese Communist Party has been a mish-mash of individuals, from idealist literati to disgruntled peasants, each with their own self-borne interpretations of the works of Marx and Lenin. Though all our resources are currently dedicated to an all-out war with Japan, party chairman Mao, as his power rises, has made it clear that this issue of a disorganized party cannot be allowed to last for long. Thus, taking advantage of this lull on our war-front, a plan to once and for all correct this fatal flaw in our system has been drafted up--the rectification movement. This will be a grounds up effort, starting at the very lowest levels of the party and extending to the top of the leadership--on one hand ensuring our comrades have a foundational definition of Marxist-Leninist thought to fall back upon, and on the other to finally rid our ranks of any Soviet ideas that have been proven unreliable for advancing revolution in China. We shall once more make the core principle of our party 'leadership from the masses, to the masses'; no intellectual softening or fringe distortion of our goal for complete emancipation of the people can be countenanced.;;;;;;;;;;X
EVT_1400001517_DESC;;;;;;;;;;;X
EVT_1400001518_DESC;Through concerted effort, we have been able to reignite the fires of the struggle within our party with serious internal restructuring. Under our new, clearly defined goals and beliefs, our cadres are able to much more effectively conduct their duties, united under a single vision and political line to defend. Our changes are already having quite the positive effect, with our membership swelling as word of our discipline and dedication to serving the people spread among the masses.;;;;;;;;;;X
EVT_1400001519_DESC;Unfortunately, China has not enjoyed the exact same trajectory of history as other countries in the world--having never truly entered into capitalism thanks to years of feudalistic imperial rule that were rapidly thrown into the fires of imperialism. Nonetheless, the people demand change, and such change comes in the form of socialism as seen through the rapid expansion of our party's ranks. In order to reconcile this rushed advancement towards the ultimate goal of a communist society, leadership has developed a concept of "New Democracy" to be implemented, its main principles being to enter directly into the socialist stage of revolution by uniting the classes oppressed by the old aristocratic order. In our new democratic government, we will organize elected bodies among the masses under the principles of democratic centralism, alongside abolishing feudal concepts of inequality and supremacy to encourage all people to participate in the exercise of democratic government. At the same time, we will permit some development of national capitalism, in order to substitute for the lack of it in our country in the recent years--ultimately, though seemingly counter-intuitive, such measures will only serve to advance the march to communism in the end. ;;;;;;;;;;X
EVT_1400001520_DESC;After more than a decade since the 6th National Congress, leadership has finally found a suitable time to call together the representatives of the party to reflect on the great developments our party has made in the last few years. Leadership confirmed the core nature of Mao Zedong thought to our party's existence, and elected a suitable central secretariat to put its ideas into practice. Chairman Mao, for his own part, delivered rousing speeches, encouraging the communist movement to fight to the end and not forget the tactics that have led us to success against the Kuomintang all this time, so that we may not flounder our final push towards victory in the people's war. Ultimately, the congress was a rousing success, only serving to strengthen our party at a time where our star is rising ever higher!;;;;;;;;;;X
EVT_1400001901_DESC;Suffering under both Nationalist's neglect and the brutality of the Japanese, the people of the north are more than disillusioned with their choice of terrible reactionary government. Combine this with the devastation caused by the war, and the entire region soon becomes ripe for sowing the seeds of revolution. Our headquarters will spend the time to carefully plan and execute an operation to set up party cells across [this region] of North China and convince the downtrodden masses to our cause. Sway the millions of ordinary people, and the hundred-thousand troops of the counter-revolutionaries will be no more powerful than a stick;;;;;;;;;;X
EVT_1400001930_DESC;Since the Japanese invaded the northeast back in 1931 and established their colony of despair called 'Manchukuo', the people of Manchuria have only seen their lives fall into deeper and deeper ruin being exploited and harassed by Tokyo's businesses and thugs. For many, this has served to be a breaking point; one small tip of the scale and their loyalties could be easily switched to serving a cause of hope.;;;;;;;;;;X
EVT_1400001932_DESC;Much of China still reels from its affects, particularly in the central provinces where much of the most brutal fighting took place. Refugees flood back in to find ruined homes, people more destitute than them, and most of all a slow and inefficient response to their troubles by the KMT government - the perfect grounds for advancing our movement. Our headquarters will spend the time to carefully plan and execute an operation to set up party cells across of Central China and convince the downtrodden masses to our cause. Sway the millions of ordinary people, and the hundred-thousand troops of the counter-revolutionaries will be no more powerful than a stick;;;;;;;;;;X
EVT_1400002001_DESC;The election day has arrived. This is the first election after the assassination of former prime minister Inukai Tsuyoshi. Despite the growing nationalism in the military has make this election seems barely even relevant anymore, some says this election may actually be a new hope for democracy for Japan. In the end, no one knows what kind of fate awaits the country.;;;;;;;;;;X
EVT_1400002002_DESC;After the Mukden Incident and Inukai's assassination, far-right nationalists and young officers were seeking a coup. Eventually, their plot over the dissatisfaction over the National Unity Cabinet has been discovered.They tried to cooperate with the Great Japan Production Party(Dai nippon seisan-to) to launch a coup through assassinating and terrorizing politicians. The police arrested them, but only lead to meek punishment.;;;;;;;;;;X
EVT_1400002003_DESC;On June 17, Private First Class soldier Nakamura was caught jaywalking by police Toda, but the limitations of traffic order led to a dispute between the two. This led to a conflict between the Army and the Ministry of Home Affairs and required mediation.;;;;;;;;;;X
EVT_1400002004_DESC;In April 1934, the Ministry of Justice ordered the arrest of the Vice-Minister of Finance, director of the Bank of Taiwan and the head of the Teijin after allegations arose over the market manipulation of Banchokai, a group of young investors, and the involvement of bureaucrats in relation to a company named Teijin. Upon the news that a number of cabinet members were also to be arrested, Saito disbanded the cabinet on July 3, 1934, but evidence collection was poor and there were no signs of crime anywhere. All of them were found not guilty, but the prosecution had to face heavy criticism. It is widely believed that Kiichiro Hiranuma, a former senior prosecutor, abused his power in the process.;;;;;;;;;;X
EVT_1400002006_DESC;the Emperor Organ theory was originally a theory based on the liberal interpretation of the Meiji Constitution. It is the logic that the sovereignty lies in the state and that the emperor of Japan, as the highest organ of the state, exercises the sovereignty with the help of other institutions and opposed the existing the Emperor's sovereignty. However, public opinion against it has spread greatly since February 19, 1935, when Baron Kikuchi Takeo strongly criticized Minobe Tatsukichi's theory in the House of Peers;;;;;;;;;;X
EVT_1400002007_DESC;;;;;;;;;;;X
EVT_1400002008_DESC;Military Ministers to be Active-Duty Officers Law mandates the Ministers of Army and the Navy to be General or Lieutenant General under active duty. This law was legislated in 1900 under the second term of Yamagata Aritomo cabinet. The Army increased its influence on the government through this law, but was met with oppositions from the politicians and public uproar. As a compromise, in 1913, Yamamoto Gonnohyoe cabinet revised the law so that the reserve officers can also serve as the Ministers. After 2.26 Incident, however, the cabinet and the military staffs are considering whether to restore it to alleviate confusion among officers.;;;;;;;;;;X
EVT_1400002009_desc;Within the parliament, Hamada Kunimatsu, a member of Rikken Seiykkai, was fiercely criticizing the military's interference. Accordingly, Ministers of Army Terauchi Hisaichi refuted and This has intensified to lead to criticism between each other. the cabinet asked for the emperor's approval to find a solution, but the Army Minister's complaint did not subside, which hurt the cabinet's maintenance.;;;;;;;;;;X
EVT_1400002010_desc;The Hirota Cabinet was established to inherit the National Unity Government after the 2.26 coup, but it was difficult to overcome reality. Genro and the Privy Council have challenged the Cabinet's ambiguous attitude toward political direction, and the unsatisfactory military continued to insist on their demands for the cabinet through pro-military politicians. It would seem only a matter of time before the cabinet gradually reached its limits.;;;;;;;;;;X
EVT_1400002011_DESC;;;;;;;;;;;X
EVT_1400002012_desc;After the recent resignation of Senjūro Hayashi as the Prime Minister, the Imperial Diet has appointed Fumimaro Konoe as the new Prime Minister of Japan. Fumimaro Konoe is a popular figure among both the goverment and the Army. He'll be forming a Cabinet really soon, starting a new leadership for Japan. ;;;;;;;;;;X
EVT_1400002013_desc;After World War I, Japan began analyzing, and studying Germany’s wartime economic system. This ultimately led to the determination of Japan’s economic direction. As the war dragged on, it became clear that the existing economic structure could no longer meet the demands. To ensure the efficient utilization and strict control of resources under wartime conditions, legislation was needed to grant the government the authority to issue direct orders.;;;;;;;;;;X
EVT_1400002014_desc;Japan’s major political parties consist of the Rikken Minseito(Constitutional Democratic Party) and the Rikken Seiyukai(Association of Friends of Constitutional Government). However, as political instability have persisted since the 1930s, skepticism regarding the current political situation has become widespread. Moreover, there is no shortage of supporters of this sentiment even within the parties themselves. Depending on how this is handled, it will affect the national unity cabinet;;;;;;;;;;X
EVT_1400002015_desc;Although a wartime system has begun to take shape through the National Mobilization, a debate has arisen over how to manage the national industry. Reformist bureaucrats and new bureaucrats, among others, have argued for introducing bureaucratic central planning system. On the other hand, some conservatives have proposed collaborating with capitalists to encourage their contribution to the wartime system. The structure of the wartime system will vary depending on these policies;;;;;;;;;;X
EVT_1400002016_desc;;;;;;;;;;;X
EVT_1400002017_desc;The existing political structure has been completely dismantled. It is time to rally our scattered supporters and form a new party dedicated to building a strong government. This will serve as the foundation for the new system.;;;;;;;;;;X
EVT_1400002018_desc;Although the Konoe Cabinet was formed on the recommendation of the elder statesman Saionji, Konoe acted in an arbitrary and radical manner. He created situations he could not handle, yet failed to establish his own vision or political base. Exhausted by political strife, Konoe was forced to resign;;;;;;;;;;X
EVT_1400002019_desc;;;;;;;;;;;X
EVT_1400002022_desc;Due to failures in foreign diplomacy, Hiranuma has announced his resignation as the Prime Minister of Japan today. In his announcement, he apologized for the recent diplomatic debacle with the foreign nations. Many people, both within the government and among the public, are suprised but relieved by his resignation. A new Prime Minister shall be determined by the Emperor and the Diet soon;;;;;;;;;;X
EVT_1400006001_desc;The legitimate government of Korea, Provisional government, has returned to Korea to assume the sovereignty;;;;;;;;;;X
EVT_1400006003_desc;The Socialists were effectively given a free hand to guide the administration. Today, the CPKI has declared its mission accomplished, and proclaimed the People's Republic;;;;;;;;;;X
EVT_1400007534_DESC;Wang Jingwei, one of the key figures within the Kuomintang, has joined our side. He came to us for the purpose of achieving peace for China, asserting that he can guarantee this peace if granted the necessary authority. His cooperation could prove to be a tremendous asset to our plans.;;;;;;;;;;X
EVT_1400007251_DESC;Due to the frequent border incursions the Japanese army situated in Manchuria and Korea poses a grave threat. With the fight in Europe is over and the Allies in agreement, we can finally put an end to their threat. All we need is for the Stavka to issue an order to attack. We will expand our power in the East asia and will avenge the humiliation of 1905.;;;;;;;;;;X
EVT_1400007252_DESC;The Japanese control over China and Manchuria has dissolved and the former Japanese territories are de jure part of China. We must withdraw according to our negotiation with China;;;;;;;;;;X
EVT_1400010023_desc;In 1941, the United Kingdom led a statement called the St. James’s Palace Declaration. It showed that several Western European countries wanted to work together against the Axis powers, like Germany and Italy. As the war grew bigger, the Soviet Union and the United States also joined the fighting. Because of this, countries began to see the need for a stronger and clearer alliance. \n After Japan attacked Pearl Harbor, U.S. President Franklin D. Roosevelt and British Prime Minister Winston Churchill met at the Arcadia Conference. Together, they wrote a draft of the 'Declaration by United Nations.' This new declaration was based on the earlier Atlantic Charter and also included ideas from the Soviet Union. They chose to use the name 'United Nations' instead of the older term 'Associated Powers.' The declaration said that all countries would follow the Atlantic Charter and promised not to make peace with the Axis powers unless everyone agreed. Their goal was to win the war completely. \n On January 1, 1942, the four major powers—America, Britain, the Soviet Union, and China—officially agreed to the declaration. The next day, 22 more countries joined, including Canada, India, Poland, and Yugoslavia. Now, people are wondering if this agreement could help build a new international group to replace the League of Nations, which had failed in the past. ;;;;;;;;;;X
#EOF;;;;;;;;;;;X
